_id,Link,city,co_active_industries,co_name
644657b7cb7a3f56cd337fa0,www.btgroup.it,Bari,"['Furniture', 'Manufacturing']",BT Group
64465908e9a3aee364061845,www.bellco.net,Mirandola,"['Manufacturing', 'Medical Devices & Equipment']",Bellco
6446590fe9a3aee364061861,www.tec-eurolab.com,Buttigliera Alta,"['Test & Measurement Equipment', 'Manufacturing']",TEC Eurolab
64465923e9a3aee3640618ac,www.biogenitalia.it,Milano,"['Manufacturing', 'Pharmaceuticals']",Biogen Italia
6446596be9a3aee3640619d6,www.valiamo.it,Not Defined,"['Manufacturing', 'Medical Devices & Equipment']",Valiamo Medical Solutions
64465971e9a3aee3640619e1,www.sternweber.it,Imola,"['Medical Devices & Equipment', 'Manufacturing']",Stern Weber
64465985e9a3aee364061a26,www.otticapcvision.it,Not Defined,"['Manufacturing', 'Retail']",Ottica Pc Vision
64465992e9a3aee364061a65,www.savenamedicalservice.it,Ozzano dell'Emilia,"['Manufacturing', 'Medical Devices & Equipment']",Savena Medical Service
64465992e9a3aee364061a68,www.medicalgroupsrl.com,Not Defined,"['Manufacturing', 'Medical Devices & Equipment']",Medical Group
644659e2e9a3aee364061b9d,www.digital4health.it,Not Defined,"['Manufacturing', 'Pharmaceuticals']",Digital 4 Health
644659e8e9a3aee364061bb5,www.emmekappa.eu,Not Defined,"['Medical Devices & Equipment', 'Manufacturing']",EmmeKappa Dental Lab
644659efe9a3aee364061bd9,www.u-caremedical.com,Not Defined,"['Manufacturing', 'Medical Devices & Equipment']",U-Care Medical
64465a03e9a3aee364061c1b,www.sintaldietetics.it,Not Defined,"['Manufacturing', 'Pharmaceuticals']",Sintal Dietetics
64465a0ae9a3aee364061c33,www.csdistribuzione.com,Milano,"['Manufacturing', 'Pharmaceuticals']",CS Distribuzione
64465a24e9a3aee364061ca9,www.miglionicoformedicals.com,Not Defined,"['Manufacturing', 'Medical Devices & Equipment']",Miglionico For Medicals
64465a2be9a3aee364061cc5,www.macelleriamagret.com,Santarcangelo,"['Food & Beverage', 'Manufacturing']",Macelleria Magret
64465a32e9a3aee364061ccf,www.purehealth.it,Calenzano,"['Electronics', 'Manufacturing']",Pure Health
64465b42747108e1cb34d633,www.tmtcimi.it,Cerreto Castello,"['Industrial Machinery & Equipment', 'Manufacturing']",TMT CIMI
64465b4f747108e1cb34d66c,www.laboratorioahura.it,Not Defined,"['Cosmetics', 'Beauty Supply & Personal Care Products', 'Manufacturing']",Laboratorio Ahura Società Benefit
64465b56747108e1cb34d682,quadrifoglio.srl,Milano,"['Furniture', 'Manufacturing']",Quadrifoglio
64465b63747108e1cb34d6a3,www.dimensionecurve.com,Schio,"['Cleaning Products', 'Manufacturing']",Dimensione Curve
64465b70747108e1cb34d6e8,www.unioneassicurazioni.it,Rome,"['Aerospace & Defense', 'Manufacturing']",Uni One Assicurazioni SpA
64465b7d747108e1cb34d722,www.brpsrl.it,Palazzolo Sull'oglio,"['Chemicals & Related Products', 'Manufacturing']",BRP
